"text"
"@michael_rismo @cryptomoon__ @GuilhermeBoulos @GadoDecider Bicho, você tem a porra do bolsonaro com a esposa na capa do seu twitter. Deve se masturbar olhando pro genocida e vem querer dizer que não é gado? Kkkk cara de pau demais."
"@EduardoDam4 @gazetadopovo já tem a votação que é uma chance do país tirar o que mais atrapalha o país, Bolsonaro"
"@o_antagonista Bolsonaro ia parabenizar, mas ainda não co seguiu parar de chorar"
"@gazetadopovo Se não fosse o STF e o legislativo, Bolsonaro já teria acabado com o país!!"
"Se arrependeu:
https://t.co/rCqTljut06"
"Mais pobre: Brasil cai 5 posições em IDH no primeiro ano de Bolsonaro | Revista Fórum https://t.co/4IGtZlol53"
"Será que o presente de Natal do Bolsonaro pra galera, será a demissão do Generoca Ramos?"
"@dorvaljmaria @AfonsoRaimundo7 @g1 Nao, espera aí, para um pouquinho e pensa no que vc acabou de postar....

Vc tá mandando um figura falando pra que eu aceitei o bolsonaro presidente, EM UMA PUBLICAÇÃO ONDE NÃO ACEITAM O BIDEN??????

Repito você então: DEITE, ROLE E CHORE....."
"@patokuada Por que ele sempre pinta o Bolsonaro com olhos azuis?"
"Todo apoio ao Governo Bolsonaro
#BolsonaroAte2026 #BolsonaroTemRazao https://t.co/S4ggcp4YJd"
"Cearense fala de obras do Governo Bolsonaro. https://t.co/ySXQP1BU6a via @YouTube"
"Será que a política racista e truculenta do Bolsonaro tem relação ou é mera coincidência?

https://t.co/kE23JV01UR"
"QUEM MATA MAIS.?
bolsonaro
ou a
COVID.? https://t.co/P5k8VqcBcX"
"Essa sórdida e assassina jogada do bolsonaro prá que se assine um termo de responsabilidade é pano de fundo.
Já tem gente no  meu grupo dizendo que se tivermos que autorizar,então a -vacina-é perigosa e pode nos matar.
Triste Nação que tem UM GENOCIDA NAZISTA NO PODER."
"Bolsonaro diz que vacinados terão que assinar termo de responsabilidade.
&gt;&gt;&gt; Assinamos todos com a caneta BIC e logo após enfiamos no RABO dele.
E olha que cabe.
É um CUZÃO MESMO. https://t.co/IoK7XpjMaC"
"Pela primeira vez na história, Tribunal de Haia analisa queixa contra um presidente brasileiro: Bolsonaro https://t.co/J5d4rDzCi6"
"Secretaria ligada a Damares dá aval a projeto de Flávio Bolsonaro de reduzir maioridade penal https://t.co/KWSpiTHjq4"
"ao lado dos moradores de favelas e profissionais autônomos....
VOCÊ VIU INICIATIVAS ASSIM VINDO DO BOLSONARO E EQUIPE.?"
"@QuarentenadoDC Essa sórdida e assassina jogada do bolsonaro prá que se assine um termo de responsabilidade é pano de fundo.
Já tem gente no  meu grupo dizendo que se tivermos que autorizar,então a -vacina-é perigosa e pode nos matar.
Triste Nação que tem UM GENOCIDA NAZISTA NO PODER."
"Se o STF e o Congresso realmente quer o bem do povo brasileiro,que afaste o suposto ministro da saúde,já que não quer impedir o bolsonaro.
Muito descaso,inércia assassina.Estamos passando por um crise sanitária monumental.E isso está anos custando muito caro."
"O politicamente correto não quer que se use "" pobre de direita"".Então que nome dou prá isso?
Um amigo,agora ex porque perdi a paciência,preto,evangelico,porteiro,com cinco filhos,pagando aluguel me disse que o bolsonaro tem que ficar mais quatro anos porque só um mandato não..."
"Bolsonaro diz que vacinados terão que assinar termo de responsabilidade https://t.co/bfwHYtCEmz"
"Mais uma saga Bolsopetismo. E bolsominions e lulopetistas juram que seus políticos de estimação são anti-sistema. Nos bastidores é só amor entre bolsonaristas e petistas.

Ala do PT defende apoio a candidato de Bolsonaro à presidência da Câmara https://t.co/H2KsDjhvOI"
"Mesmo se o Bolsonaro defende-se o fica em casa, muita gente não ficaria, esses jovens sedentos por curtir a juventude intensamente, mesmo em pandemia. ( daqui a pouco vão querer pagar de arautos da maturidade, entre 5 ou 10 anos neh, o tempo voa )"
"E depois a culpa é só do Bolsonaro, ahan. O povo é inocente. Os jovens são inocentes e imaculados."
"Bolsonaro diz que brasileiro terá que assinar ‘termo de responsabilidade’ por ter votado nele...

https://t.co/RJ6D6Jt899"
"AFINAL DE CONTAS QUEM É O CHEFE DO EXECUTIVO?
FACHIN OU BOLSONARO?  #STFVergonhaNacional"
"Se os ministros estão a serviço da Ocrime, porq não os prendem logo?? Não estão vendo que esses ministros só estão atrapalhando a vida dos brasileiros. 
#STFVergonhaNacional"
"@STF_oficial Até que enfim valendo o salário que recebem. Agora vamos junto com o @TSEjusbr cassar a chapa Bolsonaro Morão."
"Bolsonaro promete assinar MP de R$20 bilhões para compra de vacinas nesta terça https://t.co/UQx5GxtlEv"
"@Guilhermesk4477 @Conservadorrai1 @ely_mattos @CarlosBolsonaro Não deixa de ser errado.
Mas falar que o Bolsonaro tem algo a ver com a obra do HC é, no mínimo, criminoso.
Lembre-se: estou falando do Bolsonaro levar crédito pela entrega do HC.
O que os outros governos fizeram de errado já foi feito e merecem o ""crédito"" para o erro."
"@Guilhermesk4477 @Conservadorrai1 @ely_mattos @CarlosBolsonaro Siim, acho justo suas colocações e concordo com a grande maioria.
Minha questão aqui é o Bolsonaro querer levar o crédito pelo HC, sendo que o governo dele não fez absolutamente NADA pelo HC, entende?
O HC estava com a parte destinada à União pronta desde 2018"
"Liked on YouTube: QUE GENTE É ESSA QUE APOIA BOLSONARO ? https://t.co/JS2BH82pgc"
"QUE GENTE É ESSA QUE APOIA BOLSONARO ? https://t.co/JS2BH82pgc"
"QUE GENTE É ESSA QUE APOIA BOLSONARO ? https://t.co/RF0C0WyGkU via @YouTube"
"@nave1964 -Você é baiano?
-Carioca
-Então fale “ Bolsonaro mito”
-Bolsonaro mijo."
"@LeilaGermano Fagner detratou Bolsonaro, pode entrar na live do Hoje tem"
"@LUIZPATRIOTA39 E se o Bolsonaro parabenizar o Binden, voce tira essa bandeirinha do Brasil também ?"
"@PautasDoMoro Essa insistência de Bolsonaro, Bananinha e agregados em se aproximar de Trump, do partido republicano, NRA, etc. sempre cheirou."
"defende bolsonaro e trump no twitter. usa bandeirinha de Israel https://t.co/9TumCLeMEm"
"@radiobandnewsfm @lmegale Foi o bolsonaro?"
"Isso aí de "" Fagner apoiador do Bolsonaro"" não é bem assim 

No primeiro turno Fagner votou no Ciro , no segundo turno como ele não vota mais no PT de jeito nenhum ele votou pelo antipetismo ( Bolsonaro)

Mas o cara nunca concordou com o miliciano https://t.co/aeIMUwDj7F"
